Date,Price,Open,High,Low,Vol.,Change %,pred
2021-08-24,41.6,41.3,42.0,40.6,2049999,0.0097,1.0
2021-08-23,41.2,39.7,42.5,39.7,4330000,0.0457,1.0
2021-08-22,39.4,39.6,40.2,38.6,1530000,0.0051,1.0
2021-08-19,39.2,38.0,39.9,38.0,3200000,0.0426,1.0
2021-08-18,37.6,37.6,37.9,36.6,957330,0.0027,1.0
2021-08-17,37.5,36.6,38.0,36.6,948910,0.0417,1.0
2021-08-16,36.0,37.1,37.1,35.7,889350,-0.0296,1.0
2021-08-12,37.1,36.8,37.4,36.6,618450,0.0027,1.0
2021-08-11,37.0,36.8,37.8,36.8,561480,0.0054,1.0
2021-08-10,36.8,37.3,37.3,36.6,700920,-0.0108,1.0
2021-08-09,37.2,38.7,39.0,37.0,1040000,-0.0388,1.0
2021-08-05,38.7,38.0,39.0,37.6,714930,0.0211,1.0
2021-08-03,37.9,39.0,39.4,37.6,993710,-0.0257,1.0
2021-08-02,38.9,39.9,39.9,38.6,1170000,-0.0226,1.0
2021-07-29,39.8,39.7,40.9,39.1,2430000,0.0127,1.0
2021-07-28,39.3,38.0,39.6,37.8,1970000,0.0452,1.0
2021-07-27,37.6,36.5,37.9,36.5,1110000,0.033,1.0
2021-07-26,36.4,37.1,37.4,36.2,457110,-0.0215,1.0
2021-07-25,37.2,37.0,37.9,36.9,601200,0.0136,1.0
2021-07-19,36.7,35.0,37.7,35.0,846790,0.0367,1.0
2021-07-18,35.4,36.6,36.6,35.2,635810,-0.0248,1.0
2021-07-15,36.3,36.6,36.8,36.0,558200,0.0028,1.0
2021-07-14,36.2,35.7,36.9,35.6,775530,0.0112,1.0
2021-07-13,35.8,35.6,36.5,35.0,659720,0.0085,1.0
2021-07-12,35.5,36.3,36.9,35.5,583240,-0.022,1.0
2021-07-08,36.3,37.0,37.0,35.7,947400,-0.0397,1.0
2021-07-06,37.8,39.6,39.6,37.3,1100000,-0.043,1.0
2021-07-05,39.5,40.7,41.5,39.1,1200000,-0.01,1.0
2021-07-04,39.9,39.9,39.9,36.5,1440000,0.0,1.0
2021-06-30,39.9,36.6,39.9,36.5,1440000,0.0992,1.0
2021-06-29,36.3,37.2,37.9,36.0,835560,-0.0136,1.0
2021-06-28,36.8,37.9,38.5,36.6,686100,-0.0187,1.0
2021-06-27,37.5,39.5,39.5,37.3,1330000,-0.0335,1.0
2021-06-24,38.8,37.9,39.8,37.8,1010000,0.0265,1.0
2021-06-23,37.8,40.2,40.3,37.5,1630000,-0.0455,1.0
2021-06-22,39.6,40.9,41.4,39.1,1260000,-0.0246,1.0
2021-06-21,40.6,41.5,42.1,40.5,1190000,-0.0025,1.0
2021-06-20,40.7,41.2,42.0,40.5,1360000,-0.024,1.0
2021-06-17,41.7,42.9,43.0,41.5,1600000,-0.0118,1.0
2021-06-16,42.2,42.6,43.8,41.7,2400000,-0.0117,1.0
2021-06-15,42.7,41.9,44.0,41.9,2880000,0.0543,1.0
2021-06-14,40.5,41.5,41.9,38.2,2370000,0.0025,1.0
2021-06-13,40.4,42.1,43.5,39.3,2670000,-0.0449,1.0
2021-06-10,42.3,45.1,45.5,41.3,4390000,-0.0621,1.0
2021-06-09,45.1,51.0,51.5,44.5,8230000,-0.0739,1.0
2021-06-08,48.7,46.5,48.7,45.2,3770000,0.0993,1.0
2021-06-07,44.3,45.0,46.4,41.8,4630000,0.0,1.0
2021-06-06,44.3,43.7,46.6,43.0,7130000,0.0448,1.0
2021-06-03,42.4,38.1,42.4,37.9,5460000,0.0984,1.0
2021-06-02,38.6,38.4,40.4,37.2,7520000,0.0489,1.0
2021-06-01,36.8,33.7,36.8,33.6,4910000,0.0985,1.0
2021-05-31,33.5,33.2,34.1,32.8,1960000,0.0245,1.0
2021-05-30,32.7,33.8,34.2,32.5,1930000,-0.0268,1.0
2021-05-27,33.6,34.8,34.9,33.5,2880000,-0.0289,1.0
2021-05-25,34.6,33.0,35.4,32.7,4520000,0.0613,1.0
2021-05-24,32.6,32.5,32.8,31.5,2780000,0.0187,1.0
2021-05-23,32.0,32.3,32.9,31.6,1610000,0.0,1.0
2021-05-20,32.0,33.2,33.4,31.8,1490000,-0.0332,1.0
2021-05-19,33.1,33.3,33.9,32.7,2810000,0.0153,1.0
2021-05-18,32.6,32.3,32.9,32.0,2049999,0.0219,1.0
2021-05-17,31.9,32.0,32.5,31.1,1530000,0.0159,1.0
2021-05-16,31.4,31.7,32.1,31.1,1380000,-0.0095,1.0
2021-05-12,31.7,32.5,32.8,31.4,1920000,-0.0094,1.0
2021-05-11,32.0,30.8,32.9,30.4,1440000,0.0631,1.0
2021-05-09,30.1,31.5,31.6,29.0,2430000,-0.0505,1.0
2021-05-06,31.7,32.8,33.6,31.4,2800000,-0.0335,1.0
2021-05-05,32.8,34.7,34.9,32.3,3900000,-0.0493,1.0
2021-05-04,34.5,32.6,34.9,32.2,4530000,0.0849,1.0
2021-05-03,31.8,31.7,32.4,31.0,3140000,0.0063,1.0
2021-05-02,31.6,31.3,32.7,31.3,5490000,0.026,1.0
2021-04-29,30.8,30.6,31.5,29.7,3520000,0.0165,1.0
2021-04-28,30.3,28.3,30.4,28.2,6370000,0.0939,1.0
2021-04-27,27.7,26.4,28.2,26.0,3130000,0.0573,1.0
2021-04-26,26.2,27.5,27.6,25.8,2560000,-0.0438,1.0
2021-04-25,27.4,27.5,28.4,27.0,2760000,-0.0072,1.0
2021-04-22,27.6,28.0,28.9,27.4,4260000,-0.0036,1.0
2021-04-21,27.7,26.8,27.9,26.6,3390000,0.0184,1.0
2021-04-20,27.2,27.5,28.6,26.5,4470000,0.0149,1.0
2021-04-19,26.8,25.5,27.4,25.5,3540000,0.051,1.0
2021-04-18,25.5,25.8,26.1,25.0,2990000,-0.0078,1.0
2021-04-15,25.7,26.0,26.3,24.8,4030000,0.0039,1.0
2021-04-13,25.6,23.5,25.7,23.1,3360000,0.0535,1.0
